Source,Target,Type,Kind,Id,Label,Weight
0,2,Undirected,rank-8,1,rank-8,4.0
0,14,Undirected,rank-8,2,rank-8,1.0
0,15,Undirected,rank-8,3,rank-8,4.0
0,18,Undirected,rank-8,4,rank-8,1.0
0,34,Undirected,rank-8,5,rank-8,1.0
0,46,Undirected,rank-8,6,rank-8,2.0
0,63,Undirected,rank-8,7,rank-8,2.0
0,82,Undirected,rank-8,8,rank-8,1.0
0,83,Undirected,rank-8,9,rank-8,1.0
0,90,Undirected,rank-8,10,rank-8,1.0
0,110,Undirected,rank-8,11,rank-8,2.0
0,116,Undirected,rank-8,12,rank-8,2.0
0,118,Undirected,rank-8,13,rank-8,1.0
0,119,Undirected,rank-8,14,rank-8,1.0
0,123,Undirected,rank-8,15,rank-8,2.0
0,138,Undirected,rank-8,16,rank-8,1.0
0,173,Undirected,rank-8,17,rank-8,2.0
0,174,Undirected,rank-8,18,rank-8,2.0
0,175,Undirected,rank-8,19,rank-8,1.0
1,3,Undirected,rank-8,20,rank-8,2.0
1,5,Undirected,rank-8,21,rank-8,2.0
1,19,Undirected,rank-8,22,rank-8,1.0
1,20,Undirected,rank-8,23,rank-8,2.0
1,47,Undirected,rank-8,24,rank-8,1.0
1,53,Undirected,rank-8,25,rank-8,1.0
1,63,Undirected,rank-8,26,rank-8,1.0
1,66,Undirected,rank-8,27,rank-8,1.0
1,67,Undirected,rank-8,28,rank-8,1.0
1,83,Undirected,rank-8,29,rank-8,1.0
1,88,Undirected,rank-8,30,rank-8,1.0
1,90,Undirected,rank-8,31,rank-8,1.0
1,111,Undirected,rank-8,32,rank-8,1.0
1,113,Undirected,rank-8,33,rank-8,1.0
1,117,Undirected,rank-8,34,rank-8,1.0
1,120,Undirected,rank-8,35,rank-8,1.0
1,136,Undirected,rank-8,36,rank-8,1.0
1,175,Undirected,rank-8,37,rank-8,2.0
2,4,Undirected,rank-8,38,rank-8,2.0
2,8,Undirected,rank-8,39,rank-8,1.0
2,10,Undirected,rank-8,40,rank-8,1.0
2,46,Undirected,rank-8,41,rank-8,2.0
2,63,Undirected,rank-8,42,rank-8,2.0
2,69,Undirected,rank-8,43,rank-8,1.0
2,110,Undirected,rank-8,44,rank-8,2.0
2,116,Undirected,rank-8,45,rank-8,2.0
2,121,Undirected,rank-8,46,rank-8,1.0
2,123,Undirected,rank-8,47,rank-8,2.0
2,128,Undirected,rank-8,48,rank-8,2.0
3,48,Undirected,rank-8,49,rank-8,1.0
3,68,Undirected,rank-8,50,rank-8,1.0
3,117,Undirected,rank-8,51,rank-8,3.0
3,120,Undirected,rank-8,52,rank-8,1.0
3,146,Undirected,rank-8,53,rank-8,1.0
3,162,Undirected,rank-8,54,rank-8,1.0
4,6,Undirected,rank-8,55,rank-8,1.0
4,30,Undirected,rank-8,56,rank-8,1.0
4,44,Undirected,rank-8,57,rank-8,2.0
4,65,Undirected,rank-8,58,rank-8,1.0
4,71,Undirected,rank-8,59,rank-8,1.0
4,83,Undirected,rank-8,60,rank-8,1.0
4,99,Undirected,rank-8,61,rank-8,2.0
4,100,Undirected,rank-8,62,rank-8,1.0
4,101,Undirected,rank-8,63,rank-8,1.0
4,110,Undirected,rank-8,64,rank-8,1.0
4,116,Undirected,rank-8,65,rank-8,1.0
4,123,Undirected,rank-8,66,rank-8,1.0
4,130,Undirected,rank-8,67,rank-8,1.0
4,131,Undirected,rank-8,68,rank-8,1.0
4,133,Undirected,rank-8,69,rank-8,1.0
4,152,Undirected,rank-8,70,rank-8,1.0
4,176,Undirected,rank-8,71,rank-8,1.0
5,31,Undirected,rank-8,72,rank-8,3.0
5,37,Undirected,rank-8,73,rank-8,1.0
5,45,Undirected,rank-8,74,rank-8,2.0
5,98,Undirected,rank-8,75,rank-8,3.0
5,100,Undirected,rank-8,76,rank-8,1.0
5,101,Undirected,rank-8,77,rank-8,2.0
5,132,Undirected,rank-8,78,rank-8,3.0
5,134,Undirected,rank-8,79,rank-8,2.0
5,135,Undirected,rank-8,80,rank-8,4.0
5,171,Undirected,rank-8,81,rank-8,3.0
5,180,Undirected,rank-8,82,rank-8,3.0
6,36,Undirected,rank-8,83,rank-8,1.0
6,70,Undirected,rank-8,84,rank-8,1.0
6,99,Undirected,rank-8,85,rank-8,1.0
6,100,Undirected,rank-8,86,rank-8,1.0
6,101,Undirected,rank-8,87,rank-8,1.0
6,103,Undirected,rank-8,88,rank-8,1.0
6,133,Undirected,rank-8,89,rank-8,1.0
6,134,Undirected,rank-8,90,rank-8,1.0
6,135,Undirected,rank-8,91,rank-8,1.0
6,154,Undirected,rank-8,92,rank-8,1.0
6,155,Undirected,rank-8,93,rank-8,1.0
6,163,Undirected,rank-8,94,rank-8,1.0
6,166,Undirected,rank-8,95,rank-8,1.0
6,167,Undirected,rank-8,96,rank-8,1.0
6,176,Undirected,rank-8,97,rank-8,1.0
6,181,Undirected,rank-8,98,rank-8,1.0
