Source,Target,Type,Kind,Id,Label,Weight
0,2,Undirected,init_lig,1,init_lig,1.0
0,4,Undirected,init_lig,2,init_lig,1.0
0,14,Undirected,init_lig,3,init_lig,1.0
0,18,Undirected,init_lig,4,init_lig,1.0
0,46,Undirected,init_lig,5,init_lig,1.0
0,63,Undirected,init_lig,6,init_lig,1.0
0,82,Undirected,init_lig,7,init_lig,1.0
0,83,Undirected,init_lig,8,init_lig,1.0
0,88,Undirected,init_lig,9,init_lig,1.0
0,90,Undirected,init_lig,10,init_lig,1.0
0,110,Undirected,init_lig,11,init_lig,1.0
0,116,Undirected,init_lig,12,init_lig,1.0
0,118,Undirected,init_lig,13,init_lig,1.0
0,119,Undirected,init_lig,14,init_lig,1.0
0,123,Undirected,init_lig,15,init_lig,1.0
0,138,Undirected,init_lig,16,init_lig,1.0
0,164,Undirected,init_lig,17,init_lig,1.0
0,173,Undirected,init_lig,18,init_lig,1.0
0,174,Undirected,init_lig,19,init_lig,1.0
1,3,Undirected,init_lig,20,init_lig,1.0
1,5,Undirected,init_lig,21,init_lig,1.0
1,14,Undirected,init_lig,22,init_lig,1.0
1,19,Undirected,init_lig,23,init_lig,1.0
1,47,Undirected,init_lig,24,init_lig,1.0
1,62,Undirected,init_lig,25,init_lig,1.0
1,111,Undirected,init_lig,26,init_lig,1.0
1,117,Undirected,init_lig,27,init_lig,1.0
1,122,Undirected,init_lig,28,init_lig,1.0
1,139,Undirected,init_lig,29,init_lig,1.0
1,165,Undirected,init_lig,30,init_lig,1.0
1,175,Undirected,init_lig,31,init_lig,1.0
2,4,Undirected,init_lig,32,init_lig,1.0
2,8,Undirected,init_lig,33,init_lig,1.0
2,10,Undirected,init_lig,34,init_lig,1.0
2,46,Undirected,init_lig,35,init_lig,1.0
2,63,Undirected,init_lig,36,init_lig,1.0
2,69,Undirected,init_lig,37,init_lig,1.0
2,110,Undirected,init_lig,38,init_lig,1.0
2,116,Undirected,init_lig,39,init_lig,1.0
2,121,Undirected,init_lig,40,init_lig,1.0
2,123,Undirected,init_lig,41,init_lig,1.0
2,128,Undirected,init_lig,42,init_lig,1.0
2,147,Undirected,init_lig,43,init_lig,1.0
3,9,Undirected,init_lig,44,init_lig,1.0
3,11,Undirected,init_lig,45,init_lig,1.0
3,68,Undirected,init_lig,46,init_lig,1.0
3,120,Undirected,init_lig,47,init_lig,1.0
3,129,Undirected,init_lig,48,init_lig,1.0
3,146,Undirected,init_lig,49,init_lig,1.0
4,6,Undirected,init_lig,50,init_lig,1.0
4,30,Undirected,init_lig,51,init_lig,1.0
4,36,Undirected,init_lig,52,init_lig,1.0
4,44,Undirected,init_lig,53,init_lig,1.0
4,46,Undirected,init_lig,54,init_lig,1.0
4,63,Undirected,init_lig,55,init_lig,1.0
4,99,Undirected,init_lig,56,init_lig,1.0
4,100,Undirected,init_lig,57,init_lig,1.0
4,101,Undirected,init_lig,58,init_lig,1.0
4,110,Undirected,init_lig,59,init_lig,1.0
4,116,Undirected,init_lig,60,init_lig,1.0
4,123,Undirected,init_lig,61,init_lig,1.0
